Kód obce,Název obce,Registrovaní voliči,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
535371,Nákří,174,112,112,"9,82","0,00","0,00","12,50","0,89","1,78","12,50","0,89","3,57","1,78","0,00","0,89","10,71","0,00","0,89","19,64","0,00","0,00","8,92","0,00","0,89","0,00","2,67","11,60","0,00"
544825,Nedabyle,290,219,219,"11,87","0,00","0,00","3,19","0,00","6,39","9,58","2,28","0,91","2,28","0,00","0,00","14,61","0,00","3,65","26,94","0,00","0,45","10,50","0,00","0,45","0,00","0,00","6,84","0,00"
535435,Neplachov,292,194,194,"13,91","0,00","0,51","10,30","0,51","5,67","6,18","0,51","0,51","1,54","0,00","0,00","4,63","0,00","4,63","32,98","0,00","1,03","5,67","0,00","1,03","0,51","0,00","9,79","0,00"
535648,Nová Ves,566,436,435,"12,41","0,22","0,00","9,42","0,91","7,12","7,35","1,60","0,45","1,37","0,00","0,45","5,28","0,00","4,13","28,73","0,45","0,22","3,67","0,00","0,91","0,45","0,00","14,25","0,45"
544868,Nové Hrady,2 045,1 224,1 214,"9,63","0,32","0,00","9,30","0,00","2,63","14,74","0,57","1,15","1,31","0,16","0,24","8,48","0,00","2,47","28,50","0,00","0,24","3,87","0,00","0,82","0,24","0,24","14,57","0,41"
544884,Olešnice,639,396,392,"13,26","0,25","0,00","7,14","0,00","5,10","13,77","0,00","0,76","1,78","0,00","0,00","8,92","0,00","4,08","28,31","0,00","0,25","5,10","0,00","1,53","0,00","0,00","9,18","0,51"
544892,Olešník,642,395,395,"15,18","0,00","0,00","8,60","0,50","5,82","8,35","1,51","1,01","1,77","0,00","0,50","9,62","0,00","2,78","25,56","0,25","0,00","4,81","0,00","1,01","0,00","0,50","11,89","0,25"
535231,Ostrolovský Újezd,134,104,103,"17,47","0,00","0,00","6,79","0,00","6,79","8,73","0,97","0,00","0,97","0,00","0,00","8,73","0,00","4,85","32,03","0,00","1,94","5,82","0,00","0,00","0,00","0,00","4,85","0,00"
535699,Petříkov,254,175,175,"17,14","1,14","0,57","4,57","0,00","4,57","10,28","1,14","0,00","2,28","0,00","0,00","13,71","0,00","6,28","22,85","0,00","0,00","3,42","0,00","0,57","0,00","0,57","10,85","0,00"
535991,Pištín,525,359,354,"7,62","0,00","0,00","4,80","0,00","11,86","7,34","1,97","1,12","5,36","0,00","0,00","10,73","0,00","2,82","23,16","0,00","0,28","4,80","0,00","2,82","0,56","0,28","13,55","0,84"
535176,Planá,194,134,133,"15,78","0,00","0,00","6,76","0,00","6,76","11,27","2,25","1,50","2,25","0,00","0,75","9,77","0,00","3,00","24,81","0,00","0,00","1,50","0,00","3,00","1,50","0,00","9,02","0,00"
